"K0","K1","K2","KW","KB","KS","KspA","KspC","KP1","KP2","KP3","KSi","KF"
0.0646071491189007,8.38082146529507e-07,4.82201135444136e-10,4.44357748191518e-15,1.47920235822822e-09,0.281594750450472,9.05660218096275e-07,5.71016147589884e-07,0.0259871908469446,6.77386661798868e-07,4.94719824474282e-10,1.31194404355706e-10,0.00296808736308094
0.0643806865393885,8.34021174418887e-07,5.7173761613979e-10,4.36869964871056e-15,1.61827030413393e-09,0.292486090782281,1.07373030359475e-06,6.76983850298713e-07,0.0259871908469446,6.77386661798868e-07,4.94719824474282e-10,1.31194404355706e-10,0.00296808736308094
0.064945120793265,8.4415287288383e-07,3.49283812681989e-10,4.55789283321795e-15,1.29432340742625e-09,0.266155851473289,6.56104332452935e-07,4.13671883614172e-07,0.0259871908469446,6.77386661798868e-07,4.94719824474282e-10,1.31194404355706e-10,0.00296808736308094
0.0648147441787514,8.42041450439437e-07,3.75241928202604e-10,5.4906906263024e-15,1.31459110852948e-09,0.275335128323513,7.04401738987715e-07,4.44123258718229e-07,0.0259871908469446,6.77386661798868e-07,4.94719824474282e-10,1.31194404355706e-10,0.00296808736308094
0.064587553931893,8.37961293308801e-07,4.64779401036346e-10,5.40695035632457e-15,1.43818304586798e-09,0.285982345965542,8.72403327602679e-07,5.50047774340157e-07,0.0259871908469446,6.77386661798868e-07,4.94719824474282e-10,1.31194404355706e-10,0.00296808736308094
0.0643611600379157,8.33900906798961e-07,5.54384460190954e-10,5.32493352552182e-15,1.57339454070689e-09,0.297041291832033,1.04050188342406e-06,6.5603342750522e-07,0.0259871908469446,6.77386661798868e-07,4.94719824474282e-10,1.31194404355706e-10,0.00296808736308094
0.0641355597054236,8.2986019511031e-07,6.44058026414474e-10,5.24460038971553e-15,1.72131801152765e-09,0.308527887465732,1.20869910456078e-06,7.62081288866182e-07,0.0259871908469446,6.77386661798868e-07,4.94719824474282e-10,1.31194404355706e-10,0.00296808736308094
0.0646978448989364,8.39941345952524e-07,4.21265205452793e-10,5.44742158062868e-15,1.37674292623012e-09,0.280758452982351,7.9076018836807e-07,4.98572011232348e-07,0.0259871908469446,6.77386661798868e-07,4.94719824474282e-10,1.31194404355706e-10,0.00296808736308094
0.0649036038119893,8.43555351554895e-07,3.49401470411575e-10,5.17154644126134e-15,1.28576617268086e-09,0.270103390450935,6.5605978054313e-07,4.13643793763921e-07,0.0259871908469446,6.77386661798868e-07,4.94719824474282e-10,1.31194404355706e-10,0.00296808736308094
0.0646761020921432,8.39467858734991e-07,4.38890276209841e-10,5.08978328678253e-15,1.40664811932942e-09,0.280549007282898,8.24016723791518e-07,5.19540160611374e-07,0.0259871908469446,6.77386661798868e-07,4.94719824474282e-10,1.31194404355706e-10,0.00296808736308094
